file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0701_0034_210680_to_215517,ལགས་ད་སྐུ་ངོར་ཁར་ཐུག་ཞུས་པ་ཡིན་ན་ཕོ་རོག་དགོས་རྒྱུ་གཏོར་མ།  ,lags da sku ngor khar thug zhus pa yin na pho rog dgos rgyu gtor ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0034_210680_to_215517.wav,STT_MV,3,59,4.837,wav16k/STT_MV0701_0034_210680_to_215517.wav,ལས་ད་སྐུ་ངོ་ཁ་ཐུག་ཞུས་པ་ཡིན་ན། སྤོ་རོག་དགོས་རྒྱུའ་གཏོར་མ་
STT_MV0729_0040_625604_to_633625,ང་རང་ཚོ་ཚང་མ་ཕོག་ཐུག་ཆེན་པོ་བྱུང་ཡོད་རེད། ཁྱེད་ཚོ་ཚང་མ་སེམས་སྐྱིད་པོ་མེད་པ་ངས་ཤེས་ཀི་ཡོད།  ,nga rang tsho tshang ma phog thug chen po byung yod red/_khyed tsho tshang ma sems skyid po med pa ngas shes ki yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0729_0040_625604_to_633625.wav,STT_MV,3,91,8.021,wav16k/STT_MV0729_0040_625604_to_633625.wav,ང་རང་ཚོ་ཚང་མ་ཕོག་ཐུག་ཆེན་པོ་བྱུང་ཡོད་རེད། ཁྱེད་ཚོ་ཚང་མ་སེམས་སྐྱིད་པོ་མེད་པ་ངས་ཤེས་ཀི་ཡོད།
STT_MV0700_0317_2091706_to_2100498,ཨ་ཁུ་ཧང་ཧུང་ལགས། ད་ནས་བཟུང་ངའི་ཨ་ནེ་ལགས་ཁྱེད་རང་ལ་རྩིས་སྤྲད་ཀི་ཡིན་ད།  ,a khu hang hung lags/_da nas bzung nga'i a ne lags khyed rang la rtsis sprad ki yin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0700_0317_2091706_to_2100498.wav,STT_MV,3,71,8.792,wav16k/STT_MV0700_0317_2091706_to_2100498.wav,ཨ་ཁུ་ཧང་ཧཱང་ལགས་ད་ནས་བཟུང་ངའི་ཨ་ནེ་ལགས་ཁྱེད་རང་ལ་རྩིས་སྤྲད་ཀི་ཡིན་ད། ཧ
STT_MV0701_0045_281914_to_284223,ཨོ་ཡ་ཡ། ཨོ་ལགས་སོ།  ,o ya ya/_o lags so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0045_281914_to_284223.wav,STT_MV,3,20,2.309,wav16k/STT_MV0701_0045_281914_to_284223.wav,ཨོ་ཡ་ཡ་ཡ། འོ་ལགས་སོ།
STT_MV0701_0047_288510_to_293355,དེ་རིང་གནམ་ལ་བལྟས་པས་སྐར་མ་བཟང་ང་གཅིག་གི་རྟེན་འབྲེལ། ནམ་མཁའ་གསལ་གྱི་ཟླ་བ་ལ་སྤྲིན་དཀར་གྱིས་གུར་ཕུབ་པའི་རྟེན་འབྲེལ།  ,de ring gnam la bltas pas skar ma bzang nga gcig gi rten 'brel/_nam mkha' gsal gyi zla ba la sprin dkar gyis gur phub pa'i rten 'brel/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0047_288510_to_293355.wav,STT_MV,3,115,4.845,wav16k/STT_MV0701_0047_288510_to_293355.wav,དེ་རིང་སྣམ་ལ་ལྟ་བའི་སྐརྨ་བཟང་ང་གཅིག་གི་རྟེན་འབྲེལ་རྣམ་དཀ་སེར་གི་ཟླ་བ་ལ་སྤྲིན་དཀར་གི་གོ་རུ་ཕུག་པའི་རྟེན་འབྲེལ་
STT_MV0701_0048_293355_to_297068,དེ་རིང་ས་ལ་བལྟས་པས་ས་གཞི་པད་མ་འདབ་བརྒྱད་ལ་མེ་ཏོག་གི་ཆར་པ་བབས་པའི་རྟེན་འབྲེལ།  ,de ring sa la bltas pas sa gzhi pad ma 'dab brgyad la me tog gi char pa babs pa'i rten 'brel/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0048_293355_to_297068.wav,STT_MV,3,78,3.713,wav16k/STT_MV0701_0048_293355_to_297068.wav,དེ་རིགས་ས་ལ་བལྟས་པའི་ས་གཞི་པདྨ་བཏབ་བརྒྱས་ལ། མེ་ཏོག་གི་ཕྱག་ར་འཕབས་པའི་རྟེན་འབྲེལ།
STT_MV0701_0053_317169_to_326232,ལོ་ལ་སེ་སྐུ་ངོ་། འདིར་ཡ་ལྟད་མོ་ཅིག་ལྟ་སོང་ན་ལྟད་མོ་ནང་ལ་མིག་འཛུལ་བྱས་རྦད་དེ་འཐོམ་མེར་ལ་བསྡད་བསྡད་ཀི་རེད་ད། ལ་འོ་ངས། འོ་དེ་ཏོག་ཙི་ཏོག་ཙི་སྐད་རྒྱག་གིན་རྒྱག་གིན་བྱས་ན་མ་གཏོགས། ལོ་ལ་སོ། དཀའ་ལས་ཁག་གི་འདུག ,lo la se sku ngo /_'dir ya ltad mo cig lta song na ltad mo nang la mig 'dzul byas rbad de 'thom mer la bsdad bsdad ki red da/_la 'o ngas/_'o de tog tsi tog tsi skad rgyag gin rgyag gin byas na ma gtogs/_lo la so/_dka' las khag gi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0053_317169_to_326232.wav,STT_MV,3,200,9.063,wav16k/STT_MV0701_0053_317169_to_326232.wav,ལག་ལ་སེ།ྐུ་གོ། འདིར་ཡ་ལྟད་མོ་གཅིག་བལྟས་ཚར་ན་ལྟད་མོ་ནང་ལ་མིག་འཛུལ་བྱས་རྦད་དེ་མཐོ་མ་ཡེ་བསྡད་བསྡད་ཀི་རེད་ད། ལགས་འོང་། འོ་དེ་ི་ཏོག་ཙི་ཏོག་ཙི་སྐད་རྒྱག་གི་རྒྱག་གི་བྱས་ན། ལལགས་སོ། དཀའ་ལས་རྒྱབ་ྒི་ུ
STT_MV0701_0054_326232_to_332943,ད་ཡང་དབྱིན་ཇིའི་སྐད་རྒྱག་དགོས་བསམ་བྱུང་། དབྱིན་ཇིའི་སྐད་མཚམས་མཚམས་ཨེ་ཌོན་ཌི་ནོ འོ་ཨེ་ཌོན་ཌི་ནོ་རང་ཡོང་ང་། ལོ་ལ་སེ་སྐུ་ངོ་། ཱ ,da yang dbyin ji'i skad rgyag dgos bsam byung /_dbyin ji'i skad mtshams mtshams e Don Di no_'o e Don Di no rang yong nga /_lo la se sku ngo /[ \u0f71 ],https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0054_326232_to_332943.wav,STT_MV,3,125,6.711,wav16k/STT_MV0701_0054_326232_to_332943.wav,ད་ཡང་དབྱིན་ཇིའི་སྐད་རྒྱག་དགོས་བསམ་པ་བྱས། དབྱིན་ཇིའི་སྐད་མཚམས་མཚམས་པ་ཨེ་ཌོན་ཌ་ནཱོ། འོ་ཨེ་ཌོན་ནོ་རང་ཡོང་། ལགའོ་ལགས་སོ་སབུ་ངོ། ད།
STT_MV0701_0031_189425_to_197768,ད་རུང་བཤད་རྒྱུ་ཡོད་མདོག་མདོག་རེད། ལ་བཤད་ཡ་མེད་ན་ང་འདིར་སླེབས་དགོས་ཡ་རྒྱུ་མཚན་མི་འདུག ད་སྦོར་ཤོབ་ཡོད་རེད་བྱས། འདིར་ཤོག་ད་འདིར་ཤོག་ཞིག་འོང་།  ,da rung bshad rgyu yod mdog mdog red/_la bshad ya med na nga 'dir slebs dgos ya rgyu mtshan mi 'dug_da sbor shob yod red byas/_'dir shog da 'dir shog zhig 'ong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0031_189425_to_197768.wav,STT_MV,3,140,8.343,wav16k/STT_MV0701_0031_189425_to_197768.wav,ག་རུང་བཤད་རྒྱུ་ཡོད་མདོག་མདོག་རེད་པེ། ལགས་བཤད་ཡ་མེད་ན་ང་འདིར་སླེབས་དགོས་ཡ་རྒྱུ་མཚན་མི་འདུག ་ཤོག ཡག་རེད་ཤག འདིར་ཤོག་ད། འདིར་ཤོག་ཤོགའོ།
STT_MV0701_0040_240002_to_249994,ལ་ཡིན་ད་འཇར་མི་ནི་ནས་ཡིན་པའི་སྐད་ཆ་རེད། ད་ང་གཙོ་བོ་དེ་ ག་རེ་ཟ་མི་ཎི་སོ་ཊར་བསྐྱལ་སོང་། འོང་འདིར་འདིར་ཤོག་ད། འོང་འོང་། ལགས། ད་ཡག་པོ་ཞེ་དྲག་བྱུང་སོང་། ད་སྐུ་ངོ་། འདིར་ཤོག་ད་གཅིག་ ,la yin da 'jar mi ni nas yin pa'i skad cha red/_da nga gtso bo de _ga re za mi Ni so Tar bskyal song /_'ong 'dir 'dir shog da/_'ong 'ong /_lags/_da yag po zhe drag byung song /_da sku ngo /_'dir shog da gcig _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0701_0040_240002_to_249994.wav,STT_MV,3,176,9.992,wav16k/STT_MV0701_0040_240002_to_249994.wav,ལ ཡིན་ཡ་ད་འཇེར་མ་ནི་ནི་ཡིན་པའི་སྐད་ཆ་རེད། ད་ང་དིགྲོ་་དི་ག་རེ་ཟ། དེ་མི་ྣུ་བསོ་དྲག་སྐྱལ་སོང་། དད་འདིར་ཤོག་ད་འོ། ད་ལག་ཞེ་དྲག་བྱུང་སོང་། ད་གོ་ཆེ་པོ་གཅིག་
